Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Insulin Load,Deep Sleep,Active Calories
2018-08-30,Dinner,529.6,6.6,0,0,0,0,24,77.4,91.3,5,1.7,20.3,8.1,15.3,0.8,4.5,97.668,23,128
2018-08-30,Snacks,297.5,14.7,5.8,0,5.5,4.5,357.5,135,21,0,4.5,3,0,0,12,0,22.68, ,
2018-08-31,Breakfast,469.4,21.6,9.4,1.4,3.8,214.9,169,553.1,23.3,0,24.3,29.1,10.4,0,42.4,5.3,39.596,,
2018-08-31,Lunch,280,3,1.5,0,0,0,105,257,50,11,39,23,60,150,6,30,51.88,,
2018-08-31,Dinner,764,38.5,12.7,0,0,105.7,788.6,0,52.3,0,6.3,31.5,0,0,0,0,69.94,42,114
2018-09-01,Breakfast,448.1,6.9,0.3,0,0,24.5,80,957.5,73.1,0,65.5,9.9,55.9,76.9,33.9,0,78.644,,
2018-09-01,Dinner,536,28.1,8,2.4,5,93,834.5,60,41.8,4.2,1.9,28.7,26,1,10,25,53.672,96,175
2018-09-01,Snacks,527.5,7.5,2.3,2.7,0.4,4.5,109.7,958.9,81.5,19.5,53.3,28.5,5.4,370.5,32,43.5,77.96, ,
2018-09-02,Breakfast,469.4,21.6,9.4,1.4,3.8,214.9,169,553.1,23.3,0,24.3,29.1,10.4,0,42.4,5.3,39.596,,
2018-09-02,Dinner,874.2,117.4,8.6,1.4,9.3,166.5,1087.4,886.6,86,6.5,28.6,37.5,638.8,58.7,8.9,22.4,100.5,9,216
2018-09-02,Snacks,130,3.6,0.7,2.5,0.3,3,0,150,8,5,3,5,0,0,16,6,5.8, ,
2018-09-03,Breakfast,465,14.9,7.8,1,1,49.5,90,135,54.5,4,25.5,13,8,0,29,10,57.78,,
2018-09-03,Dinner,325.5,6.1,0,0,0,0,489,79,49.4,3,2.8,13.5,8.1,15.3,0.8,4.6,53.96,39,340
2018-09-03,Snacks,713.1,7.3,2.3,2.7,0.4,3,111.2,1645.3,135.9,21.7,97.1,30.2,9.1,495.8,32,46,131.112, ,
2018-09-04,Breakfast,430,14.6,7.7,1,1,48,90,90,53,4,24,12,8,0,25,10,55.72,,
2018-09-04,Dinner,543,28.2,0.8,0.8,3.2,0,950,1832.3,42.6,7.7,3.4,31.5,377.7,67.5,26.3,43.1,52.54,45,179
2018-09-04,Snacks,830.6,19.9,8.6,2.7,0.4,21.5,204.7,1174.4,153.1,11.5,103.3,12.4,7.3,372.4,19.9,21.5,148.544, ,
2018-09-05,Breakfast,559.9,23.5,9.6,4.1,7.9,39,296.1,429.9,73.3,6.4,43.6,8.9,13.6,250.4,15.1,14,71.884,,
2018-09-05,Dinner,489.5,20.7,8,0.5,0.5,107.5,231.5,0,39.3,1.3,2,35.7,17.2,0,3,9.5,57.992,83,230
2018-09-05,Snacks,722.2,29.3,13.6,3.2,2.2,150.2,279.5,526,75.4,20,47.9,43.1,38.2,0,44.2,48.6,79.536, ,
2018-09-06,Breakfast,225.9,1,0.2,0.1,0,3,3.1,429.9,43.9,4.4,33.7,3.7,3.6,248.4,12.1,5,41.572,,
2018-09-06,Lunch,825,30.9,12.3,0,0,54.5,375,395,107.5,0,70.5,14,4,0,32,12,115.34,,
2018-09-06,Dinner,453.2,19,8.9,0.6,3,30.5,632.6,1282.2,46.8,10.3,6.8,33.4,398.2,39,25.4,41.8,55.204,22,274
