Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Insulin Load,Deep Sleep,Active Calories
2018-10-24,Breakfast,658.8,16.9,8.1,1.6,1.1,54,90,516,79.5,14.9,36.9,18.1,8,72,47,16,74.736,,
2018-10-24,Lunch,346.7,17.4,4.3,1.2,4.4,0,1141.9,384.8,29.7,11.1,12,18.2,5.7,76.8,7.4,12.1,28.792,,
2018-10-24,Dinner,356.4,8.9,4.6,0.5,2,29.4,257.6,808.9,55,9,37.8,14.9,20,200,56.6,29.4,54.344,43,124
2018-10-25,Breakfast,658.8,16.9,8.1,1.6,1.1,54,90,516,79.5,14.9,36.9,18.1,8,72,47,16,74.736,,
2018-10-25,Lunch,356.8,3.5,1.5,0.2,0.1,0,109.5,751.4,70.5,14.4,47.7,22.4,5.3,361.4,11.9,37.3,68.644,,
2018-10-25,Dinner,535.1,23.4,9.6,0.9,1.6,171.6,817.5,655.3,46.3,10,14.2,31.4,48,214.6,17.8,29.5,53.884,31,348
2018-10-26,Breakfast,550.9,11.6,6,1.3,2.6,218.9,124.8,798.6,48.3,7.1,23.8,19.3,51.2,337,71.1,39,52.008, ,
2018-10-26,Lunch,375,22,1,0,0,20,132.5,375,31.5,3,27,13.3,5,0,22,10,35.948,,
2018-10-26,Dinner,471,21.1,1.5,5.5,3.5,1.4,106,147,5,1.7,0,40.7,1,1.5,1.5,6,26.092,42,0
2018-10-26,Snacks,190,12,6,1.5,4.5,0,330,0,15,3,0,3,0,0,0,4,13.68, ,
2018-10-27,Breakfast,478.8,8.9,0.6,0.6,0.1,29,75,776,57.5,10.9,42.9,13.1,4,72,50,6,53.936,,
2018-10-27,Lunch,400.6,18.9,6.9,0.5,0.3,66.7,755.1,526,32.7,10,10.9,25.9,43.4,214.1,9.3,28,37.204,,
2018-10-27,Dinner,306.5,19.5,6,6.3,3,100,111.5,234.2,15.7,3.3,7.5,25.6,23.4,54.2,9,4.6,26.736,15,536
2018-10-28,Breakfast,562.5,24.1,0.6,0,0,9,320.6,270,44.4,0,33.5,13.6,0,0,24,0,52.016,,
2018-10-28,Lunch,271.9,11.7,7,0.4,0.1,45,91.4,233.3,36.8,7.6,27,7,14.2,50.4,19.2,5,33.12,,
2018-10-28,Dinner,367.2,7.7,1.8,0.2,0,168,170.7,500.1,33.7,11,17.7,42.9,60.8,591.8,12,28.5,46.724,17,53
2018-10-29,Breakfast,271.9,11.7,7,0.4,0.1,45,91.4,233.3,36.8,7.6,27,7,14.2,50.4,19.2,5,33.12,,
2018-10-29,Lunch,390,32,2,0,0,0,115,230,7,6,0,16.6,2,0,4,20,10.296,,
2018-10-29,Dinner,422.8,26,9.5,1.6,5.6,258.6,366.9,134.8,29.1,1.6,14.1,18.6,20.2,2.2,26.4,19.1,37.916,87,258
2018-10-29,Snacks,400,13.8,6.6,1.5,4.5,9,330,270,24,3,9,9,0,0,24,4,26.04, ,
2018-10-30,Breakfast,351.9,8.7,4,1.4,1.1,20,171.4,233.3,57.8,11.6,25,13,12.2,50.4,26.2,15,53.48,,
2018-10-30,Lunch,259.2,6.3,3.5,0.6,0.2,20,170,349.6,45,11.8,30.4,8.6,10.6,82.4,26.4,6.6,38.016,,
2018-10-30,Dinner,467.2,16.7,6.8,0.2,0,198,310.7,500.1,34.7,11,17.7,47.9,68.8,591.8,22,28.5,50.524,5,203
